,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,soil_color_encode,Crop_encode
59,100,50,105,6.5,1300,25,0,11
60,75,55,110,7.0,1400,30,0,11
61,80,55,110,7.0,1400,30,0,11
62,85,55,110,7.0,1400,30,0,11
63,90,55,110,7.0,1400,30,0,11
64,95,55,110,7.0,1400,30,0,11
65,100,55,110,7.0,1400,30,0,11
66,75,60,115,7.5,1500,35,0,11
67,80,60,115,7.5,1500,35,0,11
68,85,60,115,7.5,1500,35,0,11
69,90,60,115,7.5,1500,35,0,11
70,95,60,115,7.5,1500,35,0,11
71,100,60,115,7.5,1500,35,0,11
72,20,25,25,6.5,600,25,0,5
73,25,25,25,6.5,600,25,0,5
74,30,25,25,6.5,600,25,0,5
75,35,25,25,6.5,600,25,0,5
76,40,25,25,6.5,600,25,0,5
77,20,30,30,7.0,700,30,0,5
78,25,30,30,7.0,700,30,0,5
79,30,30,30,7.0,700,30,0,5
80,35,30,30,7.0,700,30,0,5
81,40,30,30,7.0,700,30,0,5
82,20,35,35,7.5,800,25,0,5
83,25,35,35,7.5,800,25,0,5
84,30,35,35,7.5,800,25,0,5
85,35,35,35,7.5,800,25,0,5
86,40,35,35,7.5,800,25,0,5
87,20,25,40,6.5,600,30,0,5
88,25,25,40,6.5,600,30,0,5
89,30,25,40,6.5,600,30,0,5
90,35,25,40,6.5,600,30,0,5
91,40,25,40,6.5,600,30,0,5
92,20,30,25,7.0,700,25,0,5
93,25,30,25,7.0,700,25,0,5
94,30,30,25,7.0,700,25,0,5
95,35,30,25,7.0,700,25,0,5
96,40,30,25,7.0,700,25,0,5
97,20,35,30,7.5,800,30,0,5
98,25,35,30,7.5,800,30,0,5
99,30,35,30,7.5,800,30,0,5
100,35,35,30,7.5,800,30,0,5
101,40,35,30,7.5,800,30,0,5
102,20,25,35,6.5,600,25,0,5
103,25,25,35,6.5,600,25,0,5
104,30,25,35,6.5,600,25,0,5
105,35,25,35,6.5,600,25,0,5
106,40,25,35,6.5,600,25,0,5
107,20,30,40,7.0,700,30,0,5
108,25,30,40,7.0,700,30,0,5
109,30,30,40,7.0,700,30,0,5
110,35,30,40,7.0,700,30,0,5
111,40,30,40,7.0,700,30,0,5
112,20,35,25,7.5,800,25,0,5
113,25,35,25,7.5,800,25,0,5
114,30,35,25,7.5,800,25,0,5
115,35,35,25,7.5,800,25,0,5
116,40,35,25,7.5,800,25,0,5
117,20,25,30,6.5,600,30,0,5
118,25,25,30,6.5,600,30,0,5
119,30,25,30,6.5,600,30,0,5
120,35,25,30,6.5,600,30,0,5
121,40,25,30,6.5,600,30,0,5
122,20,30,35,7.0,700,25,0,5
123,25,30,35,7.0,700,25,0,5
124,30,30,35,7.0,700,25,0,5
125,35,30,35,7.0,700,25,0,5
126,40,30,35,7.0,700,25,0,5
127,20,35,40,7.5,800,30,0,5
128,25,35,40,7.5,800,30,0,5
129,30,35,40,7.5,800,30,0,5
130,35,35,40,7.5,800,30,0,5
131,40,35,40,7.5,800,30,0,5
132,40,20,20,6.0,600,25,0,5
133,45,20,20,6.0,600,25,0,5
134,50,20,20,6.0,600,25,0,5
135,40,25,25,6.5,700,30,0,5
136,45,25,25,6.5,700,30,0,5
137,50,25,25,6.5,700,30,0,5
138,40,20,25,7.0,800,25,0,5
139,45,20,25,7.0,800,25,0,5
140,50,20,25,7.0,800,25,0,5
141,40,25,20,7.5,600,30,0,5
142,45,25,20,7.5,600,30,0,5
143,50,25,20,7.5,600,30,0,5
144,100,40,50,6.0,800,25,4,0
145,105,40,50,6.0,800,25,4,0
146,110,40,50,6.0,800,25,4,0
147,115,40,50,6.0,800,25,4,0
148,120,40,50,6.0,800,25,4,0
149,125,40,50,6.0,800,25,4,0
150,130,40,50,6.0,800,25,4,0
151,135,40,50,6.0,800,25,4,0
152,140,40,50,6.0,800,25,4,0
153,145,40,50,6.0,800,25,4,0
154,150,40,50,6.0,800,25,4,0
155,100,45,55,6.5,900,30,4,0
156,105,45,55,6.5,900,30,4,0
157,110,45,55,6.5,900,30,4,0
158,115,45,55,6.5,900,30,4,0
159,120,45,55,6.5,900,30,4,0
160,125,45,55,6.5,900,30,4,0
161,130,45,55,6.5,900,30,4,0
162,135,45,55,6.5,900,30,4,0
163,140,45,55,6.5,900,30,4,0
164,145,45,55,6.5,900,30,4,0
165,150,45,55,6.5,900,30,4,0
166,100,50,60,7.0,1000,35,4,0
167,105,50,60,7.0,1000,35,4,0
168,110,50,60,7.0,1000,35,4,0
169,115,50,60,7.0,1000,35,4,0
170,120,50,60,7.0,1000,35,4,0
171,125,50,60,7.0,1000,35,4,0
172,130,50,60,7.0,1000,35,4,0
173,135,50,60,7.0,1000,35,4,0
174,140,50,60,7.0,1000,35,4,0
175,145,50,60,7.0,1000,35,4,0
176,150,50,60,7.0,1000,35,4,0
177,100,55,65,7.5,800,25,4,0
178,105,55,65,7.5,800,25,4,0
179,110,55,65,7.5,800,25,4,0
180,115,55,65,7.5,800,25,4,0
181,120,55,65,7.5,800,25,4,0
182,125,55,65,7.5,800,25,4,0
183,130,55,65,7.5,800,25,4,0
184,135,55,65,7.5,800,25,4,0
185,140,55,65,7.5,800,25,4,0
186,145,55,65,7.5,800,25,4,0
187,150,55,65,7.5,800,25,4,0
188,100,60,70,6.0,900,30,4,0
189,105,60,70,6.0,900,30,4,0
190,110,60,70,6.0,900,30,4,0
191,115,60,70,6.0,900,30,4,0
192,120,60,70,6.0,900,30,4,0
193,125,60,70,6.0,900,30,4,0
194,130,60,70,6.0,900,30,4,0
195,135,60,70,6.0,900,30,4,0
196,140,60,70,6.0,900,30,4,0
197,145,60,70,6.0,900,30,4,0
198,150,60,70,6.0,900,30,4,0
199,100,40,75,6.5,1000,35,4,0
200,105,40,75,6.5,1000,35,4,0
201,110,40,75,6.5,1000,35,4,0
202,115,40,75,6.5,1000,35,4,0
203,120,40,75,6.5,1000,35,4,0
204,125,40,75,6.5,1000,35,4,0
205,130,40,75,6.5,1000,35,4,0
206,135,40,75,6.5,1000,35,4,0
207,140,40,75,6.5,1000,35,4,0
208,145,40,75,6.5,1000,35,4,0
209,150,40,75,6.5,1000,35,4,0
210,100,45,50,6.0,800,25,4,0
211,105,45,50,6.0,800,25,4,0
212,110,45,50,6.0,800,25,4,0
213,115,45,50,6.0,800,25,4,0
214,120,45,50,6.0,800,25,4,0
215,125,45,50,6.0,800,25,4,0
216,130,45,50,6.0,800,25,4,0
217,135,45,50,6.0,800,25,4,0
218,140,45,50,6.0,800,25,4,0
219,145,45,50,6.0,800,25,4,0
220,150,45,50,6.0,800,25,4,0
221,100,50,55,6.5,900,30,4,0
222,105,50,55,6.5,900,30,4,0
223,110,50,55,6.5,900,30,4,0
224,115,50,55,6.5,900,30,4,0
225,120,50,55,6.5,900,30,4,0
226,125,50,55,6.5,900,30,4,0
227,130,50,55,6.5,900,30,4,0
228,135,50,55,6.5,900,30,4,0
229,140,50,55,6.5,900,30,4,0
230,145,50,55,6.5,900,30,4,0
231,150,50,55,6.5,900,30,4,0
232,100,55,60,7.0,1000,35,4,0
233,105,55,60,7.0,1000,35,4,0
234,110,55,60,7.0,1000,35,4,0
235,115,55,60,7.0,1000,35,4,0
236,120,55,60,7.0,1000,35,4,0
237,125,55,60,7.0,1000,35,4,0
238,130,55,60,7.0,1000,35,4,0
239,135,55,60,7.0,1000,35,4,0
240,140,55,60,7.0,1000,35,4,0
241,145,55,60,7.0,1000,35,4,0
242,150,55,60,7.0,1000,35,4,0
243,100,60,65,7.5,800,25,4,0
244,105,60,65,7.5,800,25,4,0
245,110,60,65,7.5,800,25,4,0
246,115,60,65,7.5,800,25,4,0
247,120,60,65,7.5,800,25,4,0
248,125,60,65,7.5,800,25,4,0
249,130,60,65,7.5,800,25,4,0
250,135,60,65,7.5,800,25,4,0
251,140,60,65,7.5,800,25,4,0
252,145,60,65,7.5,800,25,4,0
253,150,60,65,7.5,800,25,4,0
254,100,40,70,6.0,900,30,4,0
255,105,40,70,6.0,900,30,4,0
256,110,40,70,6.0,900,30,4,0
257,115,40,70,6.0,900,30,4,0
258,120,40,70,6.0,900,30,4,0
259,125,40,70,6.0,900,30,4,0
260,130,40,70,6.0,900,30,4,0
261,135,40,70,6.0,900,30,4,0
262,140,40,70,6.0,900,30,4,0
263,145,40,70,6.0,900,30,4,0
264,150,40,70,6.0,900,30,4,0
265,100,45,75,6.5,1000,35,4,0
266,105,45,75,6.5,1000,35,4,0
267,110,45,75,6.5,1000,35,4,0
268,115,45,75,6.5,1000,35,4,0
269,120,45,75,6.5,1000,35,4,0
270,125,45,75,6.5,1000,35,4,0
271,130,45,75,6.5,1000,35,4,0
272,135,45,75,6.5,1000,35,4,0
273,140,45,75,6.5,1000,35,4,0
274,145,45,75,6.5,1000,35,4,0
275,150,45,75,6.5,1000,35,4,0
276,100,50,50,7.0,800,25,4,0
277,105,50,50,7.0,800,25,4,0
278,110,50,50,7.0,800,25,4,0
279,115,50,50,7.0,800,25,4,0
280,120,50,50,7.0,800,25,4,0
281,125,50,50,7.0,800,25,4,0
282,130,50,50,7.0,800,25,4,0
283,135,50,50,7.0,800,25,4,0
284,140,50,50,7.0,800,25,4,0
285,145,50,50,7.0,800,25,4,0
286,150,50,50,7.0,800,25,4,0
287,100,55,55,7.5,900,30,4,0
288,105,55,55,7.5,900,30,4,0
289,110,55,55,7.5,900,30,4,0
290,115,55,55,7.5,900,30,4,0
291,120,55,55,7.5,900,30,4,0
292,125,55,55,7.5,900,30,4,0
293,130,55,55,7.5,900,30,4,0
294,135,55,55,7.5,900,30,4,0
295,140,55,55,7.5,900,30,4,0
296,145,55,55,7.5,900,30,4,0
297,150,55,55,7.5,900,30,4,0
298,100,60,60,6.0,1000,35,4,0
299,105,60,60,6.0,1000,35,4,0
300,110,60,60,6.0,1000,35,4,0
301,115,60,60,6.0,1000,35,4,0
302,120,60,60,6.0,1000,35,4,0
303,125,60,60,6.0,1000,35,4,0
304,130,60,60,6.0,1000,35,4,0
305,135,60,60,6.0,1000,35,4,0
306,140,60,60,6.0,1000,35,4,0
307,145,60,60,6.0,1000,35,4,0
308,150,60,60,6.0,1000,35,4,0
309,100,40,65,6.5,800,25,4,0
310,105,40,65,6.5,800,25,4,0
311,110,40,65,6.5,800,25,4,0
312,115,40,65,6.5,800,25,4,0
313,120,40,65,6.5,800,25,4,0
314,125,40,65,6.5,800,25,4,0
315,130,40,65,6.5,800,25,4,0
316,135,40,65,6.5,800,25,4,0
317,140,40,65,6.5,800,25,4,0
318,145,40,65,6.5,800,25,4,0
319,150,40,65,6.5,800,25,4,0
320,100,45,70,7.0,900,30,4,0
321,105,45,70,7.0,900,30,4,0
322,110,45,70,7.0,900,30,4,0
323,115,45,70,7.0,900,30,4,0
324,120,45,70,7.0,900,30,4,0
325,125,45,70,7.0,900,30,4,0
326,130,45,70,7.0,900,30,4,0
327,135,45,70,7.0,900,30,4,0
328,140,45,70,7.0,900,30,4,0
329,145,45,70,7.0,900,30,4,0
330,150,45,70,7.0,900,30,4,0
331,100,50,75,7.5,1000,35,4,0
332,105,50,75,7.5,1000,35,4,0
333,110,50,75,7.5,1000,35,4,0
334,115,50,75,7.5,1000,35,4,0
335,120,50,75,7.5,1000,35,4,0
336,125,50,75,7.5,1000,35,4,0
337,130,50,75,7.5,1000,35,4,0
338,135,50,75,7.5,1000,35,4,0
339,140,50,75,7.5,1000,35,4,0
340,145,50,75,7.5,1000,35,4,0
341,150,50,75,7.5,1000,35,4,0
342,100,55,50,6.0,800,25,4,0
343,105,55,50,6.0,800,25,4,0
344,110,55,50,6.0,800,25,4,0
345,115,55,50,6.0,800,25,4,0
346,120,55,50,6.0,800,25,4,0
347,125,55,50,6.0,800,25,4,0
348,130,55,50,6.0,800,25,4,0
349,135,55,50,6.0,800,25,4,0
350,140,55,50,6.0,800,25,4,0
351,145,55,50,6.0,800,25,4,0
352,150,55,50,6.0,800,25,4,0
353,100,60,55,6.5,900,30,4,0
354,105,60,55,6.5,900,30,4,0
355,110,60,55,6.5,900,30,4,0
356,115,60,55,6.5,900,30,4,0
357,120,60,55,6.5,900,30,4,0
358,125,60,55,6.5,900,30,4,0
359,130,60,55,6.5,900,30,4,0
360,135,60,55,6.5,900,30,4,0
361,140,60,55,6.5,900,30,4,0
362,145,60,55,6.5,900,30,4,0
363,150,60,55,6.5,900,30,4,0
364,100,40,60,7.0,1000,35,4,0
365,105,40,60,7.0,1000,35,4,0
366,110,40,60,7.0,1000,35,4,0
367,115,40,60,7.0,1000,35,4,0
368,120,40,60,7.0,1000,35,4,0
369,125,40,60,7.0,1000,35,4,0
370,130,40,60,7.0,1000,35,4,0
371,135,40,60,7.0,1000,35,4,0
372,140,40,60,7.0,1000,35,4,0
373,145,40,60,7.0,1000,35,4,0
374,150,40,60,7.0,1000,35,4,0
375,100,45,65,7.5,800,25,4,0
376,105,45,65,7.5,800,25,4,0
377,110,45,65,7.5,800,25,4,0
378,115,45,65,7.5,800,25,4,0
379,120,45,65,7.5,800,25,4,0
380,125,45,65,7.5,800,25,4,0
381,130,45,65,7.5,800,25,4,0
382,135,45,65,7.5,800,25,4,0
383,140,45,65,7.5,800,25,4,0
384,145,45,65,7.5,800,25,4,0
385,150,45,65,7.5,800,25,4,0
386,100,50,70,6.0,900,30,4,0
387,105,50,70,6.0,900,30,4,0
388,110,50,70,6.0,900,30,4,0
389,115,50,70,6.0,900,30,4,0
390,120,50,70,6.0,900,30,4,0
391,125,50,70,6.0,900,30,4,0
392,130,50,70,6.0,900,30,4,0
393,135,50,70,6.0,900,30,4,0
394,140,50,70,6.0,900,30,4,0
395,145,50,70,6.0,900,30,4,0
396,150,50,70,6.0,900,30,4,0
397,100,55,75,6.5,1000,35,4,0
398,105,55,75,6.5,1000,35,4,0
399,110,55,75,6.5,1000,35,4,0
400,115,55,75,6.5,1000,35,4,0
401,120,55,75,6.5,1000,35,4,0
402,125,55,75,6.5,1000,35,4,0
403,130,55,75,6.5,1000,35,4,0
404,135,55,75,6.5,1000,35,4,0
405,140,55,75,6.5,1000,35,4,0
406,145,55,75,6.5,1000,35,4,0
407,150,55,75,6.5,1000,35,4,0
408,100,60,50,7.0,800,25,4,0
409,105,60,50,7.0,800,25,4,0
410,110,60,50,7.0,800,25,4,0
411,115,60,50,7.0,800,25,4,0
412,120,60,50,7.0,800,25,4,0
413,125,60,50,7.0,800,25,4,0
414,130,60,50,7.0,800,25,4,0
415,135,60,50,7.0,800,25,4,0
416,140,60,50,7.0,800,25,4,0
417,145,60,50,7.0,800,25,4,0
418,150,60,50,7.0,800,25,4,0
419,100,40,55,7.5,900,30,4,0
420,105,40,55,7.5,900,30,4,0
421,110,40,55,7.5,900,30,4,0
422,115,40,55,7.5,900,30,4,0
423,120,40,55,7.5,900,30,4,0
424,125,40,55,7.5,900,30,4,0
425,130,40,55,7.5,900,30,4,0
426,135,40,55,7.5,900,30,4,0
427,140,40,55,7.5,900,30,4,0
428,145,40,55,7.5,900,30,4,0
429,150,40,55,7.5,900,30,4,0
430,100,45,60,6.0,1000,35,4,0
431,105,45,60,6.0,1000,35,4,0
432,110,45,60,6.0,1000,35,4,0
433,115,45,60,6.0,1000,35,4,0
434,120,45,60,6.0,1000,35,4,0
435,125,45,60,6.0,1000,35,4,0
436,130,45,60,6.0,1000,35,4,0
437,135,45,60,6.0,1000,35,4,0
438,140,45,60,6.0,1000,35,4,0
439,145,45,60,6.0,1000,35,4,0
440,150,45,60,6.0,1000,35,4,0
441,100,50,65,6.5,800,25,4,0
442,105,50,65,6.5,800,25,4,0
443,110,50,65,6.5,800,25,4,0
444,115,50,65,6.5,800,25,4,0
445,120,50,65,6.5,800,25,4,0
446,125,50,65,6.5,800,25,4,0
447,130,50,65,6.5,800,25,4,0
448,135,50,65,6.5,800,25,4,0
449,140,50,65,6.5,800,25,4,0
450,145,50,65,6.5,800,25,4,0
451,150,50,65,6.5,800,25,4,0
452,100,55,70,7.0,900,30,4,0
453,105,55,70,7.0,900,30,4,0
454,110,55,70,7.0,900,30,4,0
455,115,55,70,7.0,900,30,4,0
456,120,55,70,7.0,900,30,4,0
457,125,55,70,7.0,900,30,4,0
458,130,55,70,7.0,900,30,4,0
459,135,55,70,7.0,900,30,4,0
460,140,55,70,7.0,900,30,4,0
461,145,55,70,7.0,900,30,4,0
462,150,55,70,7.0,900,30,4,0
463,100,60,75,7.5,1000,35,4,0
464,105,60,75,7.5,1000,35,4,0
465,110,60,75,7.5,1000,35,4,0
466,115,60,75,7.5,1000,35,4,0
467,120,60,75,7.5,1000,35,4,0
468,125,60,75,7.5,1000,35,4,0
469,130,60,75,7.5,1000,35,4,0
470,135,60,75,7.5,1000,35,4,0
471,140,60,75,7.5,1000,35,4,0
472,145,60,75,7.5,1000,35,4,0
473,150,60,75,7.5,1000,35,4,0
474,100,60,40,6.0,800,25,4,0
475,105,60,40,6.0,800,25,4,0
476,110,60,40,6.0,800,25,4,0
477,115,60,40,6.0,800,25,4,0
478,120,60,40,6.0,800,25,4,0
479,100,65,45,6.5,900,30,4,0
480,105,65,45,6.5,900,30,4,0
481,110,65,45,6.5,900,30,4,0
482,115,65,45,6.5,900,30,4,0
483,120,65,45,6.5,900,30,4,0
484,100,70,50,7.0,1000,35,4,0
485,105,70,50,7.0,1000,35,4,0
486,110,70,50,7.0,1000,35,4,0
487,115,70,50,7.0,1000,35,4,0
488,120,70,50,7.0,1000,35,4,0
489,100,75,55,7.5,800,25,4,0
490,105,75,55,7.5,800,25,4,0
491,110,75,55,7.5,800,25,4,0
492,115,75,55,7.5,800,25,4,0
493,120,75,55,7.5,800,25,4,0
494,100,80,60,6.0,900,30,4,0
495,105,80,60,6.0,900,30,4,0
496,110,80,60,6.0,900,30,4,0
497,115,80,60,6.0,900,30,4,0
498,120,80,60,6.0,900,30,4,0
499,100,60,65,6.5,1000,35,4,0
500,105,60,65,6.5,1000,35,4,0
501,110,60,65,6.5,1000,35,4,0
502,115,60,65,6.5,1000,35,4,0
503,120,60,65,6.5,1000,35,4,0
504,100,65,40,7.0,800,25,4,0
505,105,65,40,7.0,800,25,4,0
506,110,65,40,7.0,800,25,4,0
507,115,65,40,7.0,800,25,4,0
508,120,65,40,7.0,800,25,4,0
509,100,70,45,7.5,900,30,4,0
510,105,70,45,7.5,900,30,4,0
511,110,70,45,7.5,900,30,4,0
512,115,70,45,7.5,900,30,4,0
513,120,70,45,7.5,900,30,4,0
514,100,75,50,6.0,1000,35,4,0
515,105,75,50,6.0,1000,35,4,0
516,110,75,50,6.0,1000,35,4,0
517,115,75,50,6.0,1000,35,4,0
518,120,75,50,6.0,1000,35,4,0
519,100,80,55,6.5,800,25,4,0
520,105,80,55,6.5,800,25,4,0
521,110,80,55,6.5,800,25,4,0
522,115,80,55,6.5,800,25,4,0
523,120,80,55,6.5,800,25,4,0
524,100,60,60,7.0,900,30,4,0
525,105,60,60,7.0,900,30,4,0
526,110,60,60,7.0,900,30,4,0
527,115,60,60,7.0,900,30,4,0
528,120,60,60,7.0,900,30,4,0
529,100,65,65,7.5,1000,35,4,0
530,105,65,65,7.5,1000,35,4,0
531,110,65,65,7.5,1000,35,4,0
532,115,65,65,7.5,1000,35,4,0
533,120,65,65,7.5,1000,35,4,0
534,100,70,40,6.0,800,25,4,0
535,105,70,40,6.0,800,25,4,0
536,110,70,40,6.0,800,25,4,0
537,115,70,40,6.0,800,25,4,0
538,120,70,40,6.0,800,25,4,0
539,100,75,45,6.5,900,30,4,0
540,105,75,45,6.5,900,30,4,0
541,110,75,45,6.5,900,30,4,0
542,115,75,45,6.5,900,30,4,0
543,120,75,45,6.5,900,30,4,0
544,100,80,50,7.0,1000,35,4,0
545,105,80,50,7.0,1000,35,4,0
546,110,80,50,7.0,1000,35,4,0
547,115,80,50,7.0,1000,35,4,0
548,120,80,50,7.0,1000,35,4,0
549,100,60,55,7.5,800,25,4,0
550,105,60,55,7.5,800,25,4,0
551,110,60,55,7.5,800,25,4,0
552,115,60,55,7.5,800,25,4,0
553,120,60,55,7.5,800,25,4,0
554,100,65,60,6.0,900,30,4,0
555,105,65,60,6.0,900,30,4,0
556,110,65,60,6.0,900,30,4,0
557,115,65,60,6.0,900,30,4,0
558,120,65,60,6.0,900,30,4,0
559,100,70,65,6.5,1000,35,4,0
560,105,70,65,6.5,1000,35,4,0
561,110,70,65,6.5,1000,35,4,0
562,115,70,65,6.5,1000,35,4,0
563,120,70,65,6.5,1000,35,4,0
564,100,75,40,7.0,800,25,4,0
565,105,75,40,7.0,800,25,4,0
566,110,75,40,7.0,800,25,4,0
567,115,75,40,7.0,800,25,4,0
568,120,75,40,7.0,800,25,4,0
569,100,80,45,7.5,900,30,4,0
570,105,80,45,7.5,900,30,4,0
571,110,80,45,7.5,900,30,4,0
572,115,80,45,7.5,900,30,4,0
573,120,80,45,7.5,900,30,4,0
574,100,60,50,6.0,1000,35,4,0
575,105,60,50,6.0,1000,35,4,0
576,110,60,50,6.0,1000,35,4,0
577,115,60,50,6.0,1000,35,4,0
578,120,60,50,6.0,1000,35,4,0
579,100,65,55,6.5,800,25,4,0
580,105,65,55,6.5,800,25,4,0
581,110,65,55,6.5,800,25,4,0
582,115,65,55,6.5,800,25,4,0
583,120,65,55,6.5,800,25,4,0
584,100,70,60,7.0,900,30,4,0
585,105,70,60,7.0,900,30,4,0
586,110,70,60,7.0,900,30,4,0
587,115,70,60,7.0,900,30,4,0
588,120,70,60,7.0,900,30,4,0
589,100,75,65,7.5,1000,35,4,0
590,105,75,65,7.5,1000,35,4,0
591,110,75,65,7.5,1000,35,4,0
592,115,75,65,7.5,1000,35,4,0
593,120,75,65,7.5,1000,35,4,0
594,100,80,40,6.0,800,25,4,0
595,105,80,40,6.0,800,25,4,0
596,110,80,40,6.0,800,25,4,0
597,115,80,40,6.0,800,25,4,0
598,120,80,40,6.0,800,25,4,0
599,100,60,45,6.5,900,30,4,0
600,105,60,45,6.5,900,30,4,0
601,110,60,45,6.5,900,30,4,0
602,115,60,45,6.5,900,30,4,0
603,120,60,45,6.5,900,30,4,0
604,100,65,50,7.0,1000,35,4,0
605,105,65,50,7.0,1000,35,4,0
606,110,65,50,7.0,1000,35,4,0
607,115,65,50,7.0,1000,35,4,0
608,120,65,50,7.0,1000,35,4,0
609,100,70,55,7.5,800,25,4,0
610,105,70,55,7.5,800,25,4,0
611,110,70,55,7.5,800,25,4,0
612,115,70,55,7.5,800,25,4,0
613,120,70,55,7.5,800,25,4,0
614,100,75,60,6.0,900,30,4,0
615,105,75,60,6.0,900,30,4,0
616,110,75,60,6.0,900,30,4,0
617,115,75,60,6.0,900,30,4,0
618,120,75,60,6.0,900,30,4,0
619,100,80,65,6.5,1000,35,4,0
620,105,80,65,6.5,1000,35,4,0
621,110,80,65,6.5,1000,35,4,0
622,115,80,65,6.5,1000,35,4,0
623,120,80,65,6.5,1000,35,4,0
624,20,15,20,5.5,700,25,3,9
625,25,15,20,5.5,700,25,3,9
626,30,15,20,5.5,700,25,3,9
627,20,20,25,6.0,800,30,3,9
628,25,20,25,6.0,800,30,3,9
629,30,20,25,6.0,800,30,3,9
630,20,15,25,6.5,900,25,3,9
631,25,15,25,6.5,900,25,3,9
632,30,15,25,6.5,900,25,3,9
633,20,20,20,5.5,1000,30,3,9
634,25,20,20,5.5,1000,30,3,9
635,30,20,20,5.5,1000,30,3,9
636,25,20,30,6.0,700,25,3,9
637,30,20,30,6.0,700,25,3,9
638,35,20,30,6.0,700,25,3,9
639,25,25,35,6.5,800,30,3,9
640,30,25,35,6.5,800,30,3,9
641,35,25,35,6.5,800,30,3,9
642,25,30,40,5.5,900,25,3,9
643,30,30,40,5.5,900,25,3,9
644,35,30,40,5.5,900,25,3,9
645,25,20,35,6.0,1000,30,3,9
646,30,20,35,6.0,1000,30,3,9
647,35,20,35,6.0,1000,30,3,9
648,25,25,40,6.5,700,25,3,9
649,30,25,40,6.5,700,25,3,9
650,35,25,40,6.5,700,25,3,9
651,25,30,30,5.5,800,30,3,9
652,30,30,30,5.5,800,30,3,9
653,35,30,30,5.5,800,30,3,9
654,25,20,40,6.0,900,25,3,9
655,30,20,40,6.0,900,25,3,9
656,35,20,40,6.0,900,25,3,9
657,25,25,30,6.5,1000,30,3,9
658,30,25,30,6.5,1000,30,3,9
659,35,25,30,6.5,1000,30,3,9
660,25,30,35,5.5,700,25,3,9
661,30,30,35,5.5,700,25,3,9
662,35,30,35,5.5,700,25,3,9
663,100,60,40,6.0,500,15,1,15
664,105,60,40,6.0,500,15,1,15
665,110,60,40,6.0,500,15,1,15
666,115,60,40,6.0,500,15,1,15
667,120,60,40,6.0,500,15,1,15
668,100,65,45,6.5,600,20,1,15
669,105,65,45,6.5,600,20,1,15
670,110,65,45,6.5,600,20,1,15
671,115,65,45,6.5,600,20,1,15
672,120,65,45,6.5,600,20,1,15
673,100,70,50,7.0,700,25,1,15
674,105,70,50,7.0,700,25,1,15
675,110,70,50,7.0,700,25,1,15
676,115,70,50,7.0,700,25,1,15
677,120,70,50,7.0,700,25,1,15
678,100,75,55,7.5,800,15,1,15
679,105,75,55,7.5,800,15,1,15
680,110,75,55,7.5,800,15,1,15
681,115,75,55,7.5,800,15,1,15
682,120,75,55,7.5,800,15,1,15
